Make,Model,Type,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
DODGE,Grand Caravan FFV,VAN,3.6,6,A6,X,13.7,9.4,11.8,24,276
DODGE,Grand Caravan FFV,VAN,3.6,6,A6,E,19.4,13.3,16.7,17,274
HONDA,Odyssey,VAN,3.5,6,AS9,X,12.6,8.4,10.7,26,252
HONDA,Odyssey Touring,VAN,3.5,6,AS10,X,12.2,8.5,10.6,27,247
KIA,Sedona,VAN,3.3,6,AS8,X,12.7,10,11.5,25,272
TOYOTA,Sienna,VAN,3.5,6,AS8,X,12.4,8.9,10.8,26,254
TOYOTA,Sienna AWD,VAN,3.5,6,AS8,X,13.4,9.6,11.7,24,274
CHRYSLER,Pacifica (Stop-Start),VAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
CHRYSLER,Voyager (Stop-Start),VAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
DODGE,Grand Caravan,VAN,3.6,6,A6,X,13.7,9.4,11.8,24,276
HONDA,Odyssey,VAN,3.5,6,AS10,X,12.2,8.5,10.6,27,248
KIA,Sedona,VAN,3.3,6,AS8,X,12.7,9.9,11.5,25,271
TOYOTA,Sienna,VAN,3.5,6,AS8,X,12.6,9.1,11,26,259
TOYOTA,Sienna AWD,VAN,3.5,6,AS8,X,13.4,9.6,11.7,24,274
NISSAN,FRONTIER,TRUCK,2.5,4,A5,X,13.7,10.6,12.3,23,283
NISSAN,FRONTIER,TRUCK,2.5,4,M5,X,12.2,10.2,11.3,25,260
NISSAN,FRONTIER,TRUCK,4,6,A5,X,14.7,10.2,12.7,22,292
NISSAN,FRONTIER 4WD,TRUCK,4,6,A5,X,15.7,11.2,13.7,21,315
NISSAN,FRONTIER 4WD,TRUCK,4,6,M6,X,14.8,11,13.1,22,301
TOYOTA,TACOMA,TRUCK,2.7,4,A4,X,12.2,9.3,10.9,26,251
TOYOTA,TACOMA,TRUCK,2.7,4,M5,X,11.3,8.9,10.2,28,235
TOYOTA,TACOMA,TRUCK,4,6,M6,X,14.5,11.3,13.1,22,301
TOYOTA,TACOMA 4WD,TRUCK,2.7,4,A4,X,13.1,10.5,11.9,24,274
TOYOTA,TACOMA 4WD,TRUCK,2.7,4,M5,X,12.8,10.6,11.8,24,271
TOYOTA,TACOMA 4WD,TRUCK,4,6,A5,X,14.7,11.5,13.3,21,306
TOYOTA,TACOMA 4WD,TRUCK,4,6,M6,X,15.3,12.3,14,20,322
CHEVROLET,COLORADO,TRUCK,2.5,4,A6,X,11.9,8.8,10.5,27,242
CHEVROLET,COLORADO,TRUCK,2.5,4,M6,X,12.2,9.1,10.8,26,248
CHEVROLET,COLORADO,TRUCK,3.6,6,A6,X,13,9.2,11.3,25,260
CHEVROLET,COLORADO 4WD,TRUCK,2.5,4,A6,X,12.7,9.5,11.3,25,260
CHEVROLET,COLORADO 4WD,TRUCK,3.6,6,A6,X,13.5,9.8,11.8,24,271
GMC,CANYON,TRUCK,2.5,4,A6,X,11.9,8.8,10.5,27,242
GMC,CANYON,TRUCK,2.5,4,M6,X,12.2,9.1,10.8,26,248
GMC,CANYON,TRUCK,3.6,6,A6,X,13,9.2,11.3,25,260
GMC,CANYON 4WD,TRUCK,2.5,4,A6,X,12.7,9.5,11.3,25,260
GMC,CANYON 4WD,TRUCK,3.6,6,A6,X,13.5,9.8,11.8,24,271
NISSAN,FRONTIER,TRUCK,2.5,4,A5,X,13.7,10.6,12.3,23,283
NISSAN,FRONTIER,TRUCK,2.5,4,M5,X,12.2,10.2,11.3,25,260
NISSAN,FRONTIER,TRUCK,4,6,A5,X,14.8,10.3,12.7,22,292
NISSAN,FRONTIER 4WD,TRUCK,4,6,A5,X,15.7,11.3,13.7,21,315
NISSAN,FRONTIER 4WD,TRUCK,4,6,M6,X,15,11.2,13.3,21,306
TOYOTA,TACOMA,TRUCK,2.7,4,A4,X,12.2,9.9,11.2,25,258
TOYOTA,TACOMA,TRUCK,2.7,4,M5,X,11.3,9.5,10.5,27,242
TOYOTA,TACOMA,TRUCK,4,6,M6,X,14.5,11.3,13.1,22,301
TOYOTA,TACOMA 4WD,TRUCK,2.7,4,A4,X,13.1,11.3,12.3,23,283
TOYOTA,TACOMA 4WD,TRUCK,2.7,4,M5,X,12.9,11.5,12.3,23,283
TOYOTA,TACOMA 4WD,TRUCK,4,6,A5,X,14.8,11.6,13.4,21,308
TOYOTA,TACOMA 4WD,TRUCK,4,6,M6,X,15.3,12.3,14,20,322
CHEVROLET,COLORADO,TRUCK,2.5,4,A6,X,11.9,8.9,10.5,27,247
CHEVROLET,COLORADO,TRUCK,2.5,4,M6,X,12.2,9.1,10.8,26,253
CHEVROLET,COLORADO,TRUCK,2.8,4,A6,D,10.8,7.7,9.4,30,252
CHEVROLET,COLORADO,TRUCK,3.6,6,A6,X,13,9.2,11.3,25,265
CHEVROLET,COLORADO 4WD,TRUCK,2.5,4,A6,X,12.7,9.6,11.3,25,265
CHEVROLET,COLORADO 4WD,TRUCK,2.8,4,A6,D,12,8.2,10.3,27,277
CHEVROLET,COLORADO 4WD,TRUCK,3.6,6,A6,X,13.6,9.9,11.9,24,279
GMC,CANYON,TRUCK,2.5,4,A6,X,11.9,8.9,10.5,27,247
GMC,CANYON,TRUCK,2.5,4,M6,X,12.2,9.1,10.8,26,253
GMC,CANYON,TRUCK,2.8,4,A6,D,10.8,7.7,9.4,30,252
GMC,CANYON,TRUCK,3.6,6,A6,X,13,9.2,11.3,25,265
GMC,CANYON 4WD,TRUCK,2.5,4,A6,X,12.7,9.6,11.3,25,265
GMC,CANYON 4WD,TRUCK,2.8,4,A6,D,12,8.2,10.3,27,277
GMC,CANYON 4WD,TRUCK,3.6,6,A6,X,13.6,9.9,11.9,24,279
NISSAN,FRONTIER,TRUCK,2.5,4,A5,X,13.6,10.4,12.1,23,285
NISSAN,FRONTIER,TRUCK,2.5,4,M5,X,12.2,10.2,11.3,25,266
NISSAN,FRONTIER,TRUCK,4,6,A5,X,14.8,10.3,12.7,22,300
NISSAN,FRONTIER 4WD,TRUCK,4,6,A5,X,15.7,11.3,13.7,21,322
NISSAN,FRONTIER 4WD,TRUCK,4,6,M6,X,15,11.2,13.3,21,313
TOYOTA,TACOMA,TRUCK,2.7,4,AS6,X,12,10,11.1,25,261
TOYOTA,TACOMA,TRUCK,3.5,6,AS6,X,12.6,10,11.4,25,267
TOYOTA,TACOMA 4WD,TRUCK,2.7,4,AS6,X,12.7,10.5,11.7,24,274
TOYOTA,TACOMA 4WD,TRUCK,2.7,4,M5,X,12.4,11.4,11.9,24,279
TOYOTA,TACOMA 4WD,TRUCK,3.5,6,AS6,X,13.1,10.5,11.9,24,280
TOYOTA,TACOMA 4WD,TRUCK,3.5,6,M6,X,13.6,11.2,12.5,23,292
TOYOTA,TACOMA 4WD D-CAB OFF-ROAD,TRUCK,3.5,6,M6,X,13.8,11.7,12.9,22,300
CHEVROLET,COLORADO,TRUCK,2.5,4,A6,X,12,9.2,10.7,26,252
CHEVROLET,COLORADO,TRUCK,2.5,4,M6,X,12.2,9.2,10.9,26,254
CHEVROLET,COLORADO,TRUCK,2.8,4,A6,D,10.8,7.9,9.5,30,255
CHEVROLET,COLORADO,TRUCK,3.6,6,A8,X,13.4,9.6,11.7,24,274
CHEVROLET,COLORADO 4WD,TRUCK,2.5,4,A6,X,12.7,9.6,11.3,25,263
CHEVROLET,COLORADO 4WD,TRUCK,2.8,4,A6,D,12.1,8.4,10.4,27,280
CHEVROLET,COLORADO 4WD,TRUCK,3.6,6,A8,X,14,9.9,12.2,23,286
CHEVROLET,COLORADO ZR2 4WD,TRUCK,2.8,4,A6,D,12.5,10.7,11.7,24,315
CHEVROLET,COLORADO ZR2 4WD,TRUCK,3.6,6,A8,X,15,13,14.1,20,331
GMC,CANYON,TRUCK,2.5,4,A6,X,12,9.2,10.7,26,252
GMC,CANYON,TRUCK,2.5,4,M6,X,12.2,9.2,10.9,26,254
GMC,CANYON,TRUCK,2.8,4,A6,D,10.8,7.9,9.5,30,255
GMC,CANYON,TRUCK,3.6,6,A8,X,13.4,9.6,11.7,24,274
GMC,CANYON 4WD,TRUCK,2.5,4,A6,X,12.7,9.6,11.3,25,263
GMC,CANYON 4WD,TRUCK,2.8,4,A6,D,12.1,8.4,10.4,27,280
GMC,CANYON 4WD,TRUCK,3.6,6,A8,X,14,9.9,12.2,23,286
NISSAN,FRONTIER,TRUCK,2.5,4,A5,X,13.5,10.5,12.2,23,286
NISSAN,FRONTIER,TRUCK,2.5,4,M5,X,12.2,10.4,11.4,25,268
NISSAN,FRONTIER,TRUCK,4,6,A5,X,14.8,10.6,12.9,22,304
NISSAN,FRONTIER 4WD,TRUCK,4,6,A5,X,15.8,11.5,13.8,20,326
NISSAN,FRONTIER 4WD,TRUCK,4,6,M6,X,15.1,11.5,13.5,21,317
TOYOTA,TACOMA,TRUCK,2.7,4,AS6,X,12.1,10.1,11.2,25,263
TOYOTA,TACOMA,TRUCK,3.5,6,AS6,X,12.6,10,11.4,25,268
TOYOTA,TACOMA 4WD,TRUCK,2.7,4,AS6,X,12.7,10.6,11.7,24,274
TOYOTA,TACOMA 4WD,TRUCK,2.7,4,M5,X,12.4,11.4,11.9,24,279
TOYOTA,TACOMA 4WD,TRUCK,3.5,6,AS6,X,13.2,10.7,12,24,283
TOYOTA,TACOMA 4WD,TRUCK,3.5,6,M6,X,13.8,11.6,12.8,22,301
TOYOTA,TACOMA 4WD D-CAB OFF-ROAD,TRUCK,3.5,6,M6,X,13.8,11.7,12.9,22,300
CHEVROLET,COLORADO,TRUCK,2.5,4,A6,X,12.1,9.2,10.8,26,253
CHEVROLET,COLORADO,TRUCK,2.5,4,M6,X,11.9,9.2,10.7,26,251
CHEVROLET,COLORADO,TRUCK,2.8,4,A6,D,10.8,8,9.6,29,257
CHEVROLET,COLORADO,TRUCK,3.6,6,A8,X,13.4,9.6,11.7,24,274
CHEVROLET,COLORADO 4WD,TRUCK,2.5,4,A6,X,12.6,9.8,11.3,25,266
CHEVROLET,COLORADO 4WD,TRUCK,2.8,4,A6,D,12.1,8.3,10.4,27,279
CHEVROLET,COLORADO 4WD,TRUCK,3.6,6,A8,X,14.1,10,12.2,23,288
CHEVROLET,COLORADO ZR2 4WD,TRUCK,2.8,4,A6,D,12.5,10.7,11.7,24,315
CHEVROLET,COLORADO ZR2 4WD,TRUCK,3.6,6,A8,X,15,13,14.1,20,331
GMC,CANYON,TRUCK,2.5,4,A6,X,12.1,9.2,10.8,26,253
GMC,CANYON,TRUCK,2.5,4,M6,X,11.9,9.2,10.7,26,251
GMC,CANYON,TRUCK,2.8,4,A6,D,10.8,8,9.6,29,257
GMC,CANYON,TRUCK,3.6,6,A8,X,13.4,9.6,11.7,24,274
GMC,CANYON 4WD,TRUCK,2.5,4,A6,X,12.6,9.8,11.3,25,266
GMC,CANYON 4WD,TRUCK,2.8,4,A6,D,12.1,8.3,10.4,27,279
GMC,CANYON 4WD,TRUCK,3.6,6,A8,X,14.1,10,12.2,23,288
NISSAN,FRONTIER,TRUCK,2.5,4,A5,X,13.6,10.7,12.3,23,290
NISSAN,FRONTIER,TRUCK,2.5,4,M5,X,12.2,10.4,11.4,25,268
NISSAN,FRONTIER,TRUCK,4,6,A5,X,14.7,10.4,12.8,22,300
NISSAN,FRONTIER 4WD,TRUCK,4,6,A5,X,15.8,11.5,13.9,20,326
NISSAN,FRONTIER 4WD,TRUCK,4,6,M6,X,15.1,11.5,13.5,21,317
TOYOTA,TACOMA,TRUCK,2.7,4,AS6,X,12.1,10.1,11.2,25,263
TOYOTA,TACOMA,TRUCK,3.5,6,AS6,X,12.6,10,11.4,25,268
TOYOTA,TACOMA 4WD,TRUCK,2.7,4,AS6,X,12.7,10.6,11.7,24,274
TOYOTA,TACOMA 4WD,TRUCK,3.5,6,AS6,X,13.2,10.7,12.1,23,283
TOYOTA,TACOMA 4WD,TRUCK,3.5,6,M6,X,13.8,11.4,12.7,22,299
TOYOTA,TACOMA 4WD D-CAB OFF-ROAD,TRUCK,3.5,6,M6,X,13.8,11.7,12.9,22,300
CHEVROLET,Colorado,TRUCK,2.5,4,A6,X,12.1,9.2,10.8,26,253
CHEVROLET,Colorado,TRUCK,2.5,4,M6,X,11.9,9.2,10.7,26,251
CHEVROLET,Colorado,TRUCK,2.8,4,A6,D,11.8,7.9,10.1,28,270
CHEVROLET,Colorado,TRUCK,3.6,6,A8,X,13.4,9.6,11.7,24,274
CHEVROLET,Colorado 4WD,TRUCK,2.5,4,A6,X,12.7,9.8,11.4,25,267
CHEVROLET,Colorado 4WD,TRUCK,2.8,4,A6,D,12.2,8.4,10.5,27,283
CHEVROLET,Colorado 4WD,TRUCK,3.6,6,A8,X,14,9.9,12.2,23,286
CHEVROLET,Colorado ZR2 4WD,TRUCK,2.8,4,A6,D,13.3,10.6,12.1,23,326
CHEVROLET,Colorado ZR2 4WD,TRUCK,3.6,6,A8,X,15,13,14.1,20,331
GMC,Canyon,TRUCK,2.5,4,A6,X,12.1,9.2,10.8,26,253
GMC,Canyon,TRUCK,2.5,4,M6,X,11.9,9.2,10.7,26,251
GMC,Canyon,TRUCK,2.8,4,A6,D,11.8,7.9,10.1,28,270
GMC,Canyon,TRUCK,3.6,6,A8,X,13.4,9.6,11.7,24,274
GMC,Canyon 4WD,TRUCK,2.5,4,A6,X,12.7,9.8,11.4,25,267
GMC,Canyon 4WD,TRUCK,2.8,4,A6,D,12.2,8.4,10.5,27,283
GMC,Canyon 4WD,TRUCK,3.6,6,A8,X,14,9.9,12.2,23,286
NISSAN,Frontier,TRUCK,2.5,4,A5,X,13.7,10.7,12.3,23,290
NISSAN,Frontier,TRUCK,4,6,A5,X,14.7,10.3,12.7,22,299
NISSAN,Frontier 4WD,TRUCK,4,6,A5,X,15.8,11.5,13.9,20,326
NISSAN,Frontier 4WD,TRUCK,4,6,M6,X,15.1,11.5,13.5,21,317
TOYOTA,Tacoma,TRUCK,2.7,4,AS6,X,12.1,10.1,11.2,25,263
TOYOTA,Tacoma 4WD,TRUCK,2.7,4,AS6,X,12.7,10.6,11.7,24,274
TOYOTA,Tacoma 4WD,TRUCK,3.5,6,AS6,X,13,10.5,11.9,24,278
TOYOTA,Tacoma 4WD,TRUCK,3.5,6,M6,X,13.8,11.4,12.7,22,299
TOYOTA,Tacoma 4WD D-Cab Off-Road,TRUCK,3.5,6,M6,X,13.8,11.7,12.9,22,300
CHEVROLET,Colorado,TRUCK,2.5,4,A6,X,12.1,9.2,10.8,26,252
CHEVROLET,Colorado,TRUCK,2.8,4,A6,D,11.8,7.9,10.1,28,270
CHEVROLET,Colorado,TRUCK,3.6,6,A8,X,13.4,9.6,11.7,24,273
CHEVROLET,Colorado 4WD,TRUCK,2.5,4,A6,X,12.6,9.7,11.3,25,265
CHEVROLET,Colorado 4WD,TRUCK,2.8,4,A6,D,12.3,8.5,10.6,27,284
CHEVROLET,Colorado 4WD,TRUCK,3.6,6,A8,X,14,9.9,12.2,23,286
CHEVROLET,Colorado ZR2 4WD,TRUCK,2.8,4,A6,D,13.3,10.6,12.1,23,326
CHEVROLET,Colorado ZR2 4WD,TRUCK,3.6,6,A8,X,15,13,14.1,20,331
GMC,Canyon,TRUCK,2.5,4,A6,X,12.1,9.2,10.8,26,252
GMC,Canyon,TRUCK,2.8,4,A6,D,11.8,7.9,10.1,28,270
GMC,Canyon,TRUCK,3.6,6,A8,X,13.4,9.6,11.7,24,273
GMC,Canyon 4WD,TRUCK,2.5,4,A6,X,12.6,9.7,11.3,25,265
GMC,Canyon 4WD,TRUCK,2.8,4,A6,D,12.3,8.5,10.6,27,284
GMC,Canyon 4WD,TRUCK,3.6,6,A8,X,14,9.9,12.2,23,286
TOYOTA,Tacoma,TRUCK,2.7,4,AS6,X,12.1,10.1,11.2,25,263
TOYOTA,Tacoma 4WD,TRUCK,2.7,4,AS6,X,12.7,10.6,11.7,24,274
TOYOTA,Tacoma 4WD,TRUCK,3.5,6,AS6,X,13,10.5,11.9,24,278
TOYOTA,Tacoma 4WD,TRUCK,3.5,6,M6,X,13.8,11.4,12.7,22,299
TOYOTA,Tacoma 4WD D-Cab TRD Off-Road/Pro,TRUCK,3.5,6,M6,X,13.8,11.7,12.9,22,300
CHEVROLET,SILVERADO,TRUCK,4.3,6,A6,X,13.4,9.9,11.8,24,271
CHEVROLET,SILVERADO,TRUCK,4.3,6,A6,E,18.9,14.2,16.8,17,269
CHEVROLET,SILVERADO,TRUCK,5.3,8,A6,X,14.6,10.3,12.7,22,292
CHEVROLET,SILVERADO,TRUCK,5.3,8,A6,E,19.5,13.7,16.9,17,270
CHEVROLET,SILVERADO,TRUCK,6.2,8,A6,Z,16.3,11.4,14.1,20,324
CHEVROLET,SILVERADO 4WD,TRUCK,4.3,6,A6,X,14.2,10.6,12.6,22,290
CHEVROLET,SILVERADO 4WD,TRUCK,4.3,6,A6,E,20,15.1,17.8,16,285
CHEVROLET,SILVERADO 4WD,TRUCK,5.3,8,A6,X,14.9,10.6,13,22,299
CHEVROLET,SILVERADO 4WD,TRUCK,5.3,8,A6,E,19.9,14.2,17.3,16,277
CHEVROLET,SILVERADO 4WD,TRUCK,6.2,8,A6,Z,16.4,11.7,14.3,20,329
FORD,F-150,TRUCK,3.5,6,A6,X,14.5,10.6,12.7,22,292
FORD,F-150,TRUCK,3.5,6,AS6,X,14.6,10.6,12.8,22,294
FORD,F-150,TRUCK,6.2,8,AS6,X,18.3,12.9,15.9,18,366
FORD,F-150 4X4,TRUCK,3.5,6,A6,X,15.9,11.3,13.8,20,317
FORD,F-150 4X4,TRUCK,3.5,6,AS6,X,15.4,11,13.4,21,308
FORD,F-150 4X4,TRUCK,6.2,8,AS6,X,20.1,14.4,17.5,16,402
FORD,F-150 FFV,TRUCK,3.7,6,A6,X,14,10.3,12.3,23,283
FORD,F-150 FFV,TRUCK,3.7,6,A6,E,18.8,13.7,16.5,17,264
FORD,F-150 FFV,TRUCK,3.7,6,AS6,X,14,10.3,12.3,23,283
FORD,F-150 FFV,TRUCK,3.7,6,AS6,E,18.8,13.7,16.5,17,264
FORD,F-150 FFV,TRUCK,5,8,A6,X,16.4,12.3,14.6,19,336
FORD,F-150 FFV,TRUCK,5,8,A6,E,22.1,16.7,19.7,14,315
FORD,F-150 FFV,TRUCK,5,8,AS6,X,16.4,12.3,14.6,19,336
FORD,F-150 FFV,TRUCK,5,8,AS6,E,22.1,16.7,19.7,14,315
FORD,F-150 FFV 4X4,TRUCK,3.7,6,A6,X,15,11.4,13.4,21,308
FORD,F-150 FFV 4X4,TRUCK,3.7,6,A6,E,20.2,15.3,18,16,288
FORD,F-150 FFV 4X4,TRUCK,3.7,6,AS6,X,15,11.4,13.4,21,308
FORD,F-150 FFV 4X4,TRUCK,3.7,6,AS6,E,20.2,15.3,18,16,288
FORD,F-150 FFV 4X4,TRUCK,5,8,A6,X,16.8,12.6,14.9,19,343
FORD,F-150 FFV 4X4,TRUCK,5,8,A6,E,22.4,17,20,14,320
FORD,F-150 FFV 4X4,TRUCK,5,8,AS6,X,16.7,12.5,14.8,19,340
FORD,F-150 FFV 4X4,TRUCK,5,8,AS6,E,22.4,16.9,19.9,14,318
FORD,F-150 RAPTOR 4X4,TRUCK,6.2,8,AS6,X,20.4,15,18,16,414
GMC,SIERRA,TRUCK,4.3,6,A6,X,13.4,9.9,11.8,24,271
GMC,SIERRA,TRUCK,4.3,6,A6,E,18.9,14.2,16.8,17,269
GMC,SIERRA,TRUCK,5.3,8,A6,X,14.6,10.3,12.7,22,292
GMC,SIERRA,TRUCK,5.3,8,A6,E,19.5,13.7,16.9,17,270
GMC,SIERRA,TRUCK,6.2,8,A6,Z,16.3,11.4,14.1,20,324
GMC,SIERRA 4WD,TRUCK,4.3,6,A6,X,14.2,10.6,12.6,22,290
GMC,SIERRA 4WD,TRUCK,4.3,6,A6,E,20,15.1,17.8,16,285
GMC,SIERRA 4WD,TRUCK,5.3,8,A6,X,14.9,10.6,13,22,299
GMC,SIERRA 4WD,TRUCK,5.3,8,A6,E,19.9,14.2,17.3,16,277
GMC,SIERRA 4WD,TRUCK,6.2,8,A6,Z,16.4,11.7,14.3,20,329
HONDA,RIDGELINE AWD,TRUCK,3.5,6,A5,X,15.2,11.3,13.4,21,308
NISSAN,TITAN,TRUCK,5.6,8,A5,X,17.9,12.8,15.6,18,359
NISSAN,TITAN 4WD,TRUCK,5.6,8,A5,X,19.7,14.3,17.3,16,398
RAM,1500 (MDS),TRUCK,5.7,8,A6,X,17.1,12,14.8,19,340
RAM,1500 (MDS),TRUCK,5.7,8,A8,X,15.8,10.9,13.6,21,313
RAM,1500 4X4 (MDS),TRUCK,5.7,8,A6,X,17.6,12.7,15.4,18,354
RAM,1500 4X4 (MDS),TRUCK,5.7,8,A8,X,16.3,11.5,14.1,20,324
RAM,1500 4X4 DIESEL,TRUCK,3,6,A8,D,12.1,8.8,10.6,27,286
RAM,1500 4X4 FFV,TRUCK,3.6,6,A8,X,14.6,10.1,12.6,22,290
RAM,1500 4X4 FFV,TRUCK,3.6,6,A8,E,20.5,14.5,17.8,16,285
RAM,1500 DIESEL,TRUCK,3,6,A8,D,11.6,8.4,10.2,28,275
RAM,1500 FFV,TRUCK,3.6,6,A8,X,13.9,9.5,11.9,24,274
RAM,1500 FFV,TRUCK,3.6,6,A8,E,19.4,13.6,16.8,17,269
RAM,1500 HFE,TRUCK,3.6,6,A8,X,12.9,9.3,11.3,25,260
TOYOTA,TUNDRA,TRUCK,4,6,AS5,X,14.8,11.8,13.5,21,310
TOYOTA,TUNDRA,TRUCK,4.6,8,AS6,X,15.9,12.3,14.3,20,329
TOYOTA,TUNDRA,TRUCK,5.7,8,AS6,X,17.6,12.9,15.5,18,356
TOYOTA,TUNDRA 4WD,TRUCK,4.6,8,AS6,X,16.9,12.8,15.1,19,347
TOYOTA,TUNDRA 4WD,TRUCK,5.7,8,AS6,X,18.1,13.9,16.2,17,373
CHEVROLET,SILVERADO,TRUCK,4.3,6,A6,X,13.4,9.9,11.9,24,274
CHEVROLET,SILVERADO,TRUCK,4.3,6,A6,E,19.3,14.3,17.1,17,274
CHEVROLET,SILVERADO,TRUCK,5.3,8,A6,X,14.6,10.3,12.7,22,292
CHEVROLET,SILVERADO,TRUCK,5.3,8,A6,E,19.9,13.8,17.2,16,275
CHEVROLET,SILVERADO,TRUCK,6.2,8,A8,Z,16.1,11.4,14,20,322
CHEVROLET,SILVERADO 4WD,TRUCK,4.3,6,A6,X,14.1,10.6,12.5,23,288
CHEVROLET,SILVERADO 4WD,TRUCK,4.3,6,A6,E,20.3,15.2,18,16,288
CHEVROLET,SILVERADO 4WD,TRUCK,5.3,8,A6,X,14.9,10.7,13,22,299
CHEVROLET,SILVERADO 4WD,TRUCK,5.3,8,A6,E,20.2,14.3,17.5,16,280
CHEVROLET,SILVERADO 4WD,TRUCK,6.2,8,A8,Z,16.3,11.6,14.2,20,327
FORD,F-150,TRUCK,2.7,6,AS6,X,12.2,9.2,10.8,26,248
FORD,F-150,TRUCK,3.5,6,AS6,X,13.7,9.9,12,24,276
FORD,F-150 FFV,TRUCK,3.5,6,A6,X,13.2,9.6,11.5,25,264
FORD,F-150 FFV,TRUCK,3.5,6,A6,E,17.9,13,15.7,18,251
FORD,F-150 FFV,TRUCK,5,8,AS6,X,15.5,10.6,13.3,21,306
FORD,F-150 FFV,TRUCK,5,8,AS6,E,20.7,14.3,17.9,16,286
FORD,F-150 4X4,TRUCK,2.7,6,AS6,X,13.3,10.4,12,24,276
FORD,F-150 4X4,TRUCK,3.5,6,AS6,X,14.2,10.4,12.5,23,288
FORD,F-150 FFV 4X4,TRUCK,3.5,6,A6,X,13.9,10.5,12.4,23,285
FORD,F-150 FFV 4X4,TRUCK,3.5,6,A6,E,18.9,14.2,16.8,17,269
FORD,F-150 FFV 4X4,TRUCK,5,8,AS6,X,16,11.3,13.9,20,320
FORD,F-150 FFV 4X4,TRUCK,5,8,AS6,E,21.7,15.1,18.7,15,299
GMC,SIERRA,TRUCK,4.3,6,A6,X,13.4,9.9,11.9,24,274
GMC,SIERRA,TRUCK,4.3,6,A6,E,19.3,14.3,17.1,17,274
GMC,SIERRA,TRUCK,5.3,8,A6,X,14.6,10.3,12.7,22,292
GMC,SIERRA,TRUCK,5.3,8,A6,E,19.9,13.8,17.2,16,275
GMC,SIERRA,TRUCK,6.2,8,A8,Z,16.1,11.4,14,20,322
GMC,SIERRA 4WD,TRUCK,4.3,6,A6,X,14.1,10.6,12.5,23,288
GMC,SIERRA 4WD,TRUCK,4.3,6,A6,E,20.3,15.2,18,16,288
GMC,SIERRA 4WD,TRUCK,5.3,8,A6,X,14.9,10.7,13,22,299
GMC,SIERRA 4WD,TRUCK,5.3,8,A6,E,20.2,14.3,17.5,16,280
GMC,SIERRA 4WD,TRUCK,6.2,8,A8,Z,16.3,11.6,14.2,20,327
NISSAN,TITAN,TRUCK,5.6,8,A5,X,18.4,13.3,16.1,18,370
NISSAN,TITAN 4WD,TRUCK,5.6,8,A5,X,19.7,14.3,17.2,16,396
RAM,1500,TRUCK,3.6,6,A8,X,13.9,9.5,11.9,24,274
RAM,1500 FFV,TRUCK,3.6,6,A8,X,13.9,9.5,11.9,24,274
RAM,1500 FFV,TRUCK,3.6,6,A8,E,19.4,13.6,16.8,17,269
RAM,1500 HFE,TRUCK,3.6,6,A8,X,12.9,9.3,11.3,25,260
RAM,1500 (MDS),TRUCK,5.7,8,A6,X,17.1,12,14.8,19,340
RAM,1500 (MDS),TRUCK,5.7,8,A8,X,15.7,10.9,13.6,21,313
RAM,1500 ECODIESEL,TRUCK,3,6,A8,D,11.5,8.4,10.1,28,273
RAM,1500 ECODIESEL HFE,TRUCK,3,6,A8,D,11.3,8,9.8,29,265
RAM,1500 4X4,TRUCK,3.6,6,A8,X,14.6,10.1,12.6,22,290
RAM,1500 4X4 FFV,TRUCK,3.6,6,A8,X,14.6,10.1,12.6,22,290
RAM,1500 4X4 FFV,TRUCK,3.6,6,A8,E,20.5,14.5,17.8,16,285
RAM,1500 4X4 (MDS),TRUCK,5.7,8,A6,X,17.7,12.7,15.4,18,354
RAM,1500 4X4 (MDS),TRUCK,5.7,8,A8,X,16.2,11.5,14.1,20,324
RAM,1500 4X4 ECODIESEL,TRUCK,3,6,A8,D,12.1,8.8,10.6,27,286
TOYOTA,TUNDRA,TRUCK,4.6,8,AS6,X,15.9,12.3,14.3,20,329
TOYOTA,TUNDRA,TRUCK,5.7,8,AS6,X,17.2,12.8,15.2,19,350
TOYOTA,TUNDRA 4WD,TRUCK,4.6,8,AS6,X,16.9,12.8,15.1,19,347
TOYOTA,TUNDRA 4WD,TRUCK,5.7,8,AS6,X,18.5,14.2,16.6,17,382
CHEVROLET,SILVERADO,TRUCK,5.3,8,A6,X,14.6,10.4,12.7,22,298
CHEVROLET,SILVERADO,TRUCK,6.2,8,A8,Z,16.1,11.4,14,20,328
CHEVROLET,SILVERADO FFV,TRUCK,4.3,6,A6,X,13.5,10,11.9,24,280
CHEVROLET,SILVERADO FFV,TRUCK,4.3,6,A6,E,19.3,14.4,17.1,17,284
CHEVROLET,SILVERADO FFV,TRUCK,5.3,8,A6,X,14.6,10.4,12.7,22,298
CHEVROLET,SILVERADO FFV,TRUCK,5.3,8,A6,E,19.9,14,17.2,16,286
CHEVROLET,SILVERADO 4WD,TRUCK,5.3,8,A6,X,15,10.7,13.1,22,307
CHEVROLET,SILVERADO 4WD,TRUCK,6.2,8,A8,Z,16.3,11.6,14.2,20,332
